Прізвище,Імя,По бат,Стать,Дата народження,Посада,Місто проживання,Адреса прож,Телефон,Email
Василечко,Устим,Миколайович,Ч,26.03.1972,Педагог,село Новомиргород,"вулиця Лузанівський 2-й, буд. 98, Кіцмань, 81425",+380 08 002-63-83,panteleimonskyba@example.net
Калениченко,Давид,Анатолійович,Ч,07.07.1960,Професор,місто Олешки,"парк Всеволода Змієнка, буд. 523 кв. 355, Зугрес, 75747",+380 (63) 568-52-85,omelianvitruk@example.com
Баштан,Богдан,Дмитрович,Ч,26.12.2004,Ріелтор,селище Ковель,"площа 6-та Лінія 6-й ст. Люстдорфської дороги, буд. 880, Інкерман, 32407",+380 92 291 42 97,mdrozd@example.net
Андрійович,Георгій,Павлович,Ч,09.04.1993,Кіноактор,хутір Болехів,"сквер Кладовищенська, буд. 2 кв. 7, Курахове, 56648",042 967-27-63,ziushchenko@example.org
Перебийніс,Богуслав,Володимирович,Ч,29.12.1984,Доцент,село Чернівці,"вулиця Павла Зеленого, буд. 7 кв. 33, Нікополь, 39883",+380 40 394-43-05,taras43@example.net
Шморгун,Альбіна,Тарасівна,Ж,05.06.1987,Реставратор,селище Деражня,"парк Шевальових, буд. 6 кв. 7, Кіцмань, 21349",431-50-92,roksolanahabelko@example.com
Удовенко,Еріка,Юріївна,Ж,06.08.1965,Детектив,село Запоріжжя,"узвіз Пісочна, буд. 492, Олександрівськ, 71175",744-44-23,boryslavarsenych@example.org
Гуцуляк,Світлана,Іванівна,Ж,28.08.1997,Краєзнавець,селище Торецьк,"парк Москеті, буд. 83 кв. 207, Шаргород, 68959",092 615 92 63,kolesnychenkoamaliia@example.net
Ґерус,Гаврило,Леонідович,Ч,18.12.1955,Графік,село Новоселиця,"узвіз Лінія 42-га, буд. 50 кв. 1, Сімферополь, 08561",+380 87 430 70 65,shmorhunherman@example.org
Товстоліс,Пармен,Васильович,Ч,01.10.1998,Різноробочий,хутір Винники,"провулок Молодіжна, буд. 2, Миронівка, 23978",+380 (09) 744-26-14,vadym34@example.net
Ґжицька,Людмила,Павлівна,Ж,30.11.1940,Кінорежисер,хутір Монастириська,"проспект Спиридонівська, буд. 60 кв. 375, Новояворівськ, 93551",011 010-04-69,iakivperebyinis@example.org
Давиденко,Орина,Олександрівна,Ж,20.03.1971,Детектив,місто Герца,"шосе Каретний, буд. 2, Красилів, 98880",+380 71 635 73 67,azar50@example.net
Бабак,Орися,Степанівна,Ж,31.03.1962,Євнух,село Шептицький,"площа Деволанівська, буд. 885, Сквира, 28724",+380 76 214-02-57,andriiovychdavyd@example.org
Верменич,Ярослав,Степанович,Ч,30.09.1979,Дизайнер,селище Світлодарськ,"провулок Артура Савельєва, буд. 41, Тячів, 68415",020 958 73 69,jneporozhnii@example.net
Данькевич,Ярина,Андріївна,Ж,15.05.1973,Композитор,селище Долинська,"набережна Карпатська, буд. 25 кв. 18, Отаманівка, 60284",522 79 71,zinchenkovadym@example.com
Нестайко,Прохір,Дмитрович,Ч,19.05.2006,Візажист,селище Славута,"провулок Чернігівська, буд. 0, Прип'ять, 75981",+380 19 004-27-33,shukhevychada@example.com
Харченко,Данна,Степанівна,Ж,14.08.1953,Психолог,хутір Іллінці,"шосе Севастопольський, буд. 5 кв. 132, Буринь, 32405",730-96-30,lkhmara@example.org
Демʼяненко,Феофан,Тарасович,Ч,24.01.1990,Палеонтолог,селище Косів,"провулок Новощіпний ряд, буд. 58 кв. 3, Жовті Води, 87485",+380 (56) 834-12-98,osirchenko@example.org
Швайка,Марія,Миколаївна,Ж,13.02.1987,Бібліограф,хутір Старобільськ,"шосе Мирна, буд. 075, Татарбунари, 20257",383 32 93,viktorbaturynets@example.org
Овсієнко,Франц,Степанович,Ч,16.10.1942,Кушнір,хутір Чорнобиль,"проспект Андросовський, буд. 42, Лохвиця, 31835",023 483-73-01,ogoliash@example.org
Ґоляш,Павло,Валерійович,Ч,20.08.1999,Живописець,місто Благовіщенське,"шосе Богуна, буд. 591 кв. 719, Світловодськ, 31788",433-25-67,anton01@example.com
Шахрай,Марія,Максимівна,Ж,15.07.1953,Драматург,хутір Броди,"провулок Шептицького, буд. 4 кв. 42, Міусинськ, 67566",044 795-18-91,davydvdovenko@example.org
Шморгун,Марія,Тарасівна,Ж,12.02.2002,Фрілансер,село Куп'янськ,"провулок Лінія 29-та, буд. 342 кв. 80, Жидачів, 97320",+380 (06) 320-80-35,lukian25@example.org
Євдокименко,Григорій,Андрійович,Ч,23.07.1997,Кінорежисер,місто Барвінкове,"узвіз Одеської громади, буд. 1 кв. 746, Новогродівка, 64336",070 118-69-15,markozubko@example.com
Бевзенко,Емілія,Юріївна,Ж,30.04.2000,Реставратор,село Залізне,"парк Чумацька, буд. 481 кв. 5, Донецьк, 98541",+380 44 317-89-15,aderhach@example.com
Перепелиця,Соломія,Максимівна,Ж,01.12.1998,Доцент,селище Хмільник,"парк Севастопольський, буд. 8 кв. 851, Деражня, 81907",+380 83 340-64-02,trokhym97@example.net
Рябченко,Борис,Юрійович,Ч,05.01.2001,Кур'єр,хутір Великі Мости,"сквер Садиковська, буд. 6 кв. 155, Буча, 55942",+380 97 070-39-54,sahalmarta@example.com
Яремків,Спас,Петрович,Ч,07.07.1962,Музикознавець,село Хрустальний,"сквер Нескучна, буд. 406, Хотин, 54897",088 098 13 04,adam81@example.net
Бгиденко,Єфрем,Михайлович,Ч,22.07.1988,Реабілітолог,хутір Луганськ,"набережна Олешківська, буд. 27 кв. 14, Великі Мости, 74162",093 529 40 72,rozaliiashynkarenko@example.org
Іваничук,Геннадій,Миколайович,Ч,17.12.1997,Медик,село Подільськ,"площа Середня, буд. 91 кв. 6, Стебник, 35179",+380 05 680 07 50,mykyta99@example.com
Корсун,Степан,Іванович,Ч,25.01.1988,Слідчий,хутір Скадовськ,"провулок Пейзажна, буд. 22 кв. 98, Судак, 32380",099 52 66,borys67@example.com
Чуйко,Дарина,Олександрівна,Ж,13.04.2003,Адвокат,хутір Торецьк,"шосе Гонтаренко, буд. 2, Борщів, 29455",976 90 86,teodorvdovenko@example.org
Свистун,Іван,Михайлович,Ч,02.06.1973,Кушнір,село Сіверськ,"набережна Шкіперська, буд. 180 кв. 431, Новомиргород, 28882",+380 (02) 863-86-55,teodorverhun@example.org
Удовиченко,Остап,Миколайович,Ч,11.06.1978,Фольклорист,селище Малин,"шосе Озерна, буд. 41 кв. 88, Новодружеськ, 11543",+380 18 329 82 08,xveres@example.org
Зубко,Пилип,Григорович,Ч,03.11.1959,Редактор,село Миколаїв,"узвіз Лиманчик 2-й Лінія 5-та, буд. 3 кв. 500, Болехів, 78475",+380 27 784-56-90,chalaoleksa@example.net
Акименко,Ірина,Миколаївна,Ж,09.01.1990,Науковець,селище Красноперекопськ,"проспект Центральний аеропорт, буд. 8, Нова Каховка, 54145",093 622-57-96,hodunokstefan@example.org
Давиденко,Орина,Дмитрівна,Ж,22.02.1957,Епідеміолог,селище Златопіль,"набережна Одеської громади, буд. 49 кв. 648, Шептицький, 66954",750-29-24,danylenkoanton@example.com
Дацюк,Антон,Григорович,Ч,28.01.1950,Науковець,село Соснівка,"сквер Дальницьке, буд. 3 кв. 34, Арциз, 41754",+380 97 716-37-87,pfesenko@example.org
Юрчук,Марʼяна,Ярославівна,Ж,01.03.2004,Каскадер,хутір Звенигородка,"узвіз Польова, буд. 6, Біла Церква, 13262",+380 27 710-80-76,barabashstepan@example.org
Бабʼяк,Пантелеймон,Віталійович,Ч,24.09.1996,Музикознавець,селище Берегове,"парк Ф. Пішеніна, буд. 932, Тиврів, 61598",170-56-60,cdeineka@example.org
Авдєєнко,Клавдія,Дмитрівна,Ж,08.09.1995,Пекар,село Біла Церква,"проспект Лінія 43-тя, буд. 8, Українка, 98297",060 468 79 10,bchornovil@example.net
Пелех,Леонтій,Миколайович,Ч,14.03.1940,Бухгалтер,місто Щастя,"провулок Затишна, буд. 517 кв. 639, Почаїв, 48210",+380 23 899-41-45,piarosh@example.net
Андрусенко,Єва,Григорівна,Ж,29.07.1970,Етнограф,місто Жовті Води,"шосе Садова, буд. 227, Боярка, 91109",+380 64 267-29-01,biemets@example.net
Дейнека,Михайлина,Сергіївна,Ж,14.10.1970,Золотар,селище Мирноград,"парк Чехівського, буд. 97 кв. 3, Інкерман, 85881",807-52-84,dankevychanton@example.net
Бабій,Ростислав,Анатолійович,Ч,11.05.1986,Слідчий,хутір Немирів,"парк Іванівський переїзд, буд. 13 кв. 70, Великі Мости, 77885",203-98-38,lshamrai@example.org
Рябець,Йосип,Віталійович,Ч,03.12.1948,Підприємець,село Часів Яр,"парк Богдана Хмельницького, буд. 724, Снятин, 51974",+380 (70) 523-13-26,havrylo00@example.net
Зайченко,Марія,Ярославівна,Ж,18.06.1990,Етнограф,селище Винники,"набережна Ліверпульський, буд. 58, Ківерці, 85400",+380 09 074-55-52,veniiamynabramchuk@example.com
Даньків,Лілія,Ігорівна,Ж,17.11.1966,Зоолог,село Попасна,"провулок Поліська, буд. 9, Баранівка, 51911",374 49 76,tverdokhlibbohuslava@example.net
Джунь,Ярослава,Степанівна,Ж,08.07.1941,Письменник,місто Вільнянськ,"узвіз Деревообробна, буд. 7, Сіверськ, 19848",+380 19 693-86-72,adakovaliuk@example.com
Зінчук,Прохір,Віталійович,Ч,14.04.1987,Редактор,селище Путивль,"провулок Золотий берег, буд. 19 кв. 365, Копичинці, 16820",+380 03 644-42-19,milenatelizhenko@example.org
Перепелиця,Миколай,Миколайович,Ч,04.02.1948,Математик,місто Новогродівка,"сквер Новий, буд. 756 кв. 403, Міусинськ, 01851",295-64-56,edyta42@example.net
Непорожній,Герман,Ігорович,Ч,11.10.1939,Літературознавець,село Горохів,"проспект Університетський, буд. 220, Амвросіївка, 37413",+380 35 189-88-32,fshmorhun@example.net
Уманець,Олег,Степанович,Ч,24.01.1987,Електрослюсар,місто Берегове,"сквер Локомотивний 2-й, буд. 2 кв. 911, Вишгород, 84238",445-66-90,avreliivlokh@example.com
Абрагамовська,Одарка,Миколаївна,Ж,18.08.1950,Агроном,хутір Бобринець,"площа Прокатна, буд. 09, Чернігів, 05352",245 70 57,zaichenkoroman@example.net
Запорожець,Єлисавета,Романівна,Ж,03.02.1988,Візажист,село Борщів,"вулиця Морехідна, буд. 068, Буча, 87732",+380 77 872-85-83,odarka48@example.net
Зінкевич,Орися,Андріївна,Ж,15.03.1945,Електрослюсар,місто Тальне,"шосе Херсонський сквер, буд. 95, Радомишль, 97708",037 628-64-41,makar54@example.net
Прокопович,Ганна,Ярославівна,Ж,09.10.1971,Драматург,селище Дебальцеве,"узвіз Отрада, буд. 4, Корюківка, 93349",+380 (90) 799-95-60,zabilasolomon@example.net
Левченко,Марта,Петрівна,Ж,17.08.1990,Водій,місто Сміла,"сквер Перша, буд. 8, Євпаторія, 90901",016 935 97 54,makar00@example.com
Ісаєнко,Єлисавета,Дмитрівна,Ж,16.01.1952,Хореограф,селище Каховка,"площа Караїмська, буд. 18, Тетіїв, 10051",+380 (29) 515-07-80,shvedchenkostepan@example.net
Архимович,Макар,Миколайович,Ч,26.03.1966,Астроном,селище Селидове,"провулок Восьмого Березня Лінія 1-ша, буд. 51 кв. 4, Березань, 79448",+380 31 425-76-52,cavramchuk@example.org
Голик,Тетяна,Сергіївна,Ж,10.07.1945,Громадський діяч,село Ніжин,"вулиця Десантний, буд. 89, Олександрівськ, 01413",506-80-37,maksymdanchuk@example.net
Сацюк,Розалія,Максимівна,Ж,05.12.1959,Антрополог,місто Алупка,"вулиця Климовича, буд. 08 кв. 729, Багачеве, 17031",+380 28 457-34-78,fedir82@example.net
Вергун,Олена,Дмитрівна,Ж,04.04.1986,Бібліотекар,село Малин,"шосе Головна, буд. 5, Нікополь, 52644",+380 67 738-10-33,roksolana37@example.net
Матяш,Ярослав,Миколайович,Ч,22.11.1967,Адвокат,село Жмеринка,"шосе Марка Крейна, буд. 21, Тернопіль, 60402",+380 02 633 93 42,chabelko@example.net
Литвиненко,Левко,Андрійович,Ч,21.06.1973,Хореограф,місто Білицьке,"проспект Бейтельсбахера, буд. 279, Обухів, 74674",026 372 10 05,chuikomarta@example.net
Ґалаґан,Віталій,Павлович,Ч,19.04.1971,Ювелір,село Хрустальний,"сквер Центральний аеропорт, буд. 4, Каховка, 92009",+380 72 470-55-48,albinashchors@example.com
Валенко,Амалія,Олександрівна,Ж,10.10.1962,Філолог,місто Ямпіль,"проспект Чорноморського козацтва, буд. 15 кв. 1, Ананьїв, 07293",052 792 33 46,kamilla05@example.org
Івасюк,Степан,Романович,Ч,20.07.1968,Паралегал,село Середина-Буда,"проспект Радісний, буд. 733, Добромиль, 42634",+380 20 165-53-63,esimashkevych@example.org
Шведченко,Микита,Андрійович,Ч,30.03.1967,Реабілітолог,село Дебальцеве,"узвіз Травневий 4-й, буд. 61 кв. 27, Черкаси, 33676",+380 19 526-62-59,emiliia70@example.net
Токар,Назар,Іванович,Ч,01.07.2003,Підприємець,селище Біла Церква,"проспект Прилуцький, буд. 86, Кропивницький, 41581",+380 (61) 594-42-46,alla16@example.net
Кабалюк,Семен,Віталійович,Ч,16.01.1993,Няня,село Берестин,"сквер Залізнична, буд. 7 кв. 6, Галич, 53202",+380 97 693-53-63,leonprokopovych@example.net
Тимчук,Гліб,Сергійович,Ч,30.05.1987,Кінорежисер,хутір Ужгород,"шосе Флотський 4-й, буд. 013 кв. 8, Золоте, 20257",032-40-73,danyloshchyrytsia@example.org
Саченко,Дан,Вікторович,Ч,25.11.1969,Нотаріус,село Баштанка,"набережна Лиманчик 2-й Лінія 11-та, буд. 7, Шахтарськ, 89443",592-91-46,liliia82@example.com
Ірванець,Розалія,Ігорівна,Ж,01.03.1943,Фотограф,місто Острог,"набережна Новопланівська, буд. 80 кв. 27, Луцьк, 57817",+380 91 860-95-23,xbabiichuk@example.net
Саченко,Валентина,Сергіївна,Ж,16.08.1980,Фрілансер,хутір Лисичанськ,"набережна Успенська, буд. 462, Ізяслав, 64285",+380 05 497 62 83,xmalyk@example.org
Цимбал,Хома,Іванович,Ч,20.04.1981,Бібліограф,місто Суми,"шосе Пісочна, буд. 072, Ясинувата, 42934",+380 13 893 21 49,oleksandrdeisun@example.com
Фартушняк,Аніта,Петрівна,Ж,20.08.1971,Агроном,місто Зеленодольськ,"узвіз Стовпова, буд. 3 кв. 5, Снятин, 38621",016 055 71 49,valeriidziuba@example.net
Журавель,Гордій,Віталійович,Ч,18.08.1995,Астроном,село Устилуг,"сквер 17-та Лінія 6-й ст. Люстдорфської дороги, буд. 493, Мукачево, 71853",092 658-90-76,ielyseivashchuk@example.com
Корбут,Леон,Степанович,Ч,23.02.1953,Нотаріус,селище Богодухів,"сквер Кавунова, буд. 501, Баранівка, 67665",+380 69 579-22-78,romanolifirenko@example.com
Пилипенко,Галина,Василівна,Ж,26.05.1994,Євнух,село Старий Крим,"узвіз Польський узвіз, буд. 104 кв. 847, Харцизьк, 31279",+380 93 530-24-17,klymentiatseniuk@example.net
Дергач,Стефан,Григорович,Ч,24.11.1942,Кушнір,хутір Карлівка,"шосе Чернівецький, буд. 757, Зоринськ, 01642",+380 83 749 74 20,harkhypenko@example.net
Адаменко,Богданна,Володимирівна,Ж,13.11.1991,Прокурор,селище Моршин,"сквер Будівельна, буд. 10 кв. 436, Боково-Хрустальне, 81920",+380 (25) 793-04-74,spas21@example.org
Сімашкевич,Альбіна,Юріївна,Ж,09.09.1946,Будник,місто Бережани,"набережна Нова, буд. 5, Белз, 78344",066 29 58,aaron85@example.net
Макогон,Лариса,Андріївна,Ж,16.05.1971,Футболіст,селище Сміла,"сквер Світлий, буд. 71, Погребище, 67235",116-73-92,erikaruban@example.org
Дробаха,Лілія,Анатоліївна,Ж,09.11.1949,Кіноактор,хутір Кролевець,"проспект Учительський, буд. 13, Свалява, 99166",+380 31 118-68-63,artemzhuravel@example.org
Фурс,Богданна,Дмитрівна,Ж,20.07.1961,Льотчик,селище Олександрія,"узвіз Мала Арнаутська, буд. 0 кв. 2, Зміїв, 72306",045 428 33 15,paliianzhela@example.org
Червоненко,Оксенія,Дмитрівна,Ж,26.05.1959,Пекар,хутір Кам'янець-Подільський,"вулиця Навігаційний, буд. 1, Покровськ, 26102",043 101-11-51,zharkoboleslav@example.org
Штокало,Марина,Петрівна,Ж,21.11.1967,Петрограф,хутір Моспине,"шосе Карпатська, буд. 2 кв. 977, Білогірськ, 91988",046 354 74 78,havryloieremenko@example.net
Супруненко,Пармен,Андрійович,Ч,14.08.1942,Публіцист,селище Валки,"парк Лиманчик 2-й Лінія 2-га, буд. 5, Березань, 03295",+380 (41) 261-71-44,isaienkohryhorii@example.net
Жук,Аніта,Анатоліївна,Ж,03.01.1988,Реабілітолог,місто Свалява,"проспект Лучиста, буд. 3 кв. 2, Синельникове, 24833",037 846 26 09,riaboviliaroslav@example.net
Ванченко,Ярослава,Юріївна,Ж,24.09.1958,Паралегал,хутір Боково-Хрустальне,"сквер Кузнечна, буд. 5, Джанкой, 78136",+380 72 675-36-14,oryna42@example.com
Негода,Гаврило,Романович,Ч,23.01.1960,Петрограф,хутір Новоукраїнка,"набережна Аеропортівський 4-й, буд. 14, Красногорівка, 56103",+380 89 938 70 71,arkhypenkomyron@example.com
Савенко,Орися,Степанівна,Ж,05.02.1948,Журналіст,село Южноукраїнськ,"сквер Юннатів 1-й, буд. 0, Алупка, 84153",+380 39 870 03 01,uderevianko@example.net
Баранник,Дмитро,Романович,Ч,18.12.2007,Дизайнер,селище Новоазовськ,"площа П'ята, буд. 742, Ківерці, 56395",092 122 58 29,bohdanna91@example.com
Забарний,Юхим,Валерійович,Ч,03.10.1968,Кур'єр,хутір Довжанськ,"шосе Нафтовиків, буд. 54, Севастополь, 21796",+380 33 100-04-87,okseniia82@example.net
Ємельяненко,Олена,Віталіївна,Ж,09.03.1981,Реставратор,селище Нікополь,"узвіз Головківська, буд. 3 кв. 3, Липовець, 99140",000 444 11 77,efesenko@example.org
Шиян,Ліза,Григорівна,Ж,08.01.1964,Єгер,село Чорнобиль,"вулиця Таїрова, буд. 694 кв. 74, Почаїв, 03659",013 392-49-42,asaulastepan@example.com
Даценко,Максим,Романович,Ч,24.08.1961,Електромонтажник,місто Ківерці,"шосе Студентський 5-й, буд. 4 кв. 5, Василівка, 43546",+380 19 451 12 76,vernyhorasolomon@example.com
Дзиндра,Віра,Олександрівна,Ж,13.09.2000,Електромонтер,селище Яворів,"проспект Шухевича Романа, буд. 0, Красилів, 28883",265 31 84,klavdiiaparasiuk@example.net
Носенко,Роман,Валерійович,Ч,08.03.1956,Локсмайстер,хутір Рубіжне,"площа Івана Микитенка, буд. 09 кв. 527, Бар, 90018",029 537-65-01,antonvakhnii@example.net
Бандера,Тетяна,Григорівна,Ж,01.12.1949,Швачка,село Дубно,"вулиця Братів Малакових, буд. 6, Довжанськ, 28425",+380 14 731 61 30,esyrotenko@example.net
Алексеєнко,Віталій,Віталійович,Ч,10.06.1953,Локсмайстер,селище Дунаївці,"проспект Стамбульський, буд. 53 кв. 385, Жданівка, 14013",+380 91 075 99 35,bohdannadeineko@example.com
Сомко,Петро,Олександрович,Ч,26.01.1943,Ґрунтознавець,селище Кропивницький,"сквер 12-та ст. Великого Фонтану пляж, буд. 30 кв. 856, Коростень, 37642",826-35-18,romanenkoalina@example.com
Чумак,Юстим,Іванович,Ч,05.08.1944,Модельєр,хутір Радомишль,"провулок Стрийський, буд. 553 кв. 485, Хотин, 02976",+380 85 843 76 09,ihorbashpolchenko@example.org
Вергун,Семен,Вікторович,Ч,16.02.2006,Головний меркшейдер,село Бахмач,"узвіз Церковна, буд. 8, Ізюм, 91035",504 44 31,pavloteslenko@example.net
Дробаха,Ада,Миколаївна,Ж,28.01.1979,Епідеміолог,хутір Тиврів,"узвіз Сірожупанників, буд. 6 кв. 0, Шахтарськ, 73305",501-00-81,orest86@example.net
Стець,Ярема,Валерійович,Ч,18.07.1985,Хореограф,хутір Златопіль,"набережна Лінійний, буд. 374, Вознесенівка, 93753",539 43 63,milena96@example.com
Фаренюк,Алевтин,Степанович,Ч,07.12.1945,Няня,місто Єнакієве,"шосе Леся Курбаса, буд. 714 кв. 16, Тлумач, 21296",002 312-85-69,iustymopanasenko@example.net
Оніщук,Альберт,Тарасович,Ч,11.02.1941,Антрополог,місто Моспине,"шосе Олександра Кошиця, буд. 236, Світлодарськ, 17156",+380 05 522-86-02,spaspavlyk@example.com
Матяш,Валерій,Юрійович,Ч,21.07.1992,Біолог,хутір Лисичанськ,"провулок Бориса Кифоренка, буд. 475, Яворів, 05607",026 440-33-72,snizhanashvachko@example.com
Черненко,Єлисей,Юрійович,Ч,10.08.1999,Живописець,хутір Харцизьк,"сквер Академічний, буд. 5 кв. 49, Білогірськ, 14612",130-64-25,edytapiatachenko@example.org
Носенко,Дарина,Григорівна,Ж,20.09.1996,Музикознавець,село Новояворівськ,"набережна Поштовий, буд. 9 кв. 025, Сорокине, 55738",930-86-76,olhalukash@example.org
Негода,Аркадій,Анатолійович,Ч,26.12.1976,Підприємець,селище Чистякове,"проспект Степана Олійника узвіз, буд. 047 кв. 20, Олешки, 76394",+380 64 604 46 66,havrylyshyndmytro@example.net
Шморгун,Роман,Леонідович,Ч,11.05.2005,Антрополог,хутір Сновськ,"вулиця Отамана Чепіги, буд. 1, Подільськ, 78654",006 272-36-42,iustym11@example.net
Забашта,Борислав,Васильович,Ч,21.08.1942,Каскадер,місто Скадовськ,"узвіз Бучми, буд. 249 кв. 929, Глиняни, 98792",+380 88 544-09-59,anastasiia27@example.org
Дашенко,Мартин,Петрович,Ч,10.08.1942,Медик,село Охтирка,"набережна Лобачевського, буд. 35, Щастя, 42043",023 684-84-90,azar84@example.com
Приймак,Антон,Михайлович,Ч,01.10.1965,Складальник,хутір Умань,"провулок Гена Іоганна, буд. 6, Перевальськ, 27775",262 15 82,omeliandubenko@example.net
Лукаш,Миколай,Павлович,Ч,26.06.1938,Педагог,місто Рава-Руська,"провулок Соляний 2-й, буд. 850 кв. 7, Герца, 69054",+380 42 183-99-90,hupaloada@example.net
Бездітко,Петро,Дмитрович,Ч,09.03.1985,Льотчик,хутір Южноукраїнськ,"проспект Хімічний 2-й, буд. 69, Зборів, 82736",070 996 25 32,gfastenko@example.net
Годунок,Мілена,Іванівна,Ж,17.02.1981,Машиніст,місто Тячів,"площа Офіцерська, буд. 56, Чернівці, 02599",+380 (67) 508-41-70,baklanzorian@example.com
Акуленко,Максим,Петрович,Ч,05.04.2001,Драматург,місто Дніпрорудне,"площа Павла Шклярука, буд. 255, Старобільськ, 16935",+380 41 059-18-68,riabchenkoustym@example.com
Алексеєнко,Юстина,Богданівна,Ж,20.05.1952,Дерун,село Саки,"сквер Дениса Максишка, буд. 915 кв. 13, Славутич, 67862",237 44 74,liubovostapchuk@example.org
Даньків,Варфоломій,Юрійович,Ч,23.12.1988,Дизайнер,місто Іршава,"сквер 2-й Академічний тупик, буд. 362, Вижниця, 27956",+380 65 960-55-83,myronprokopovych@example.net
Чумак,Аврелій,Романович,Ч,06.09.1941,Провізор,селище Львів,"сквер Героїв УПА, буд. 5, Бобровиця, 76268",+380 83 464 23 04,nhutsuliak@example.com
Бабій,Христина,Дмитрівна,Ж,23.08.1944,Правник,село Борщів,"сквер 10-та Лінія 6-й ст. Люстдорфської дороги, буд. 4, Докучаєвськ, 48815",+380 (07) 327-97-60,ivanenkobohuslav@example.net
Івасюк,Олена,Романівна,Ж,30.11.1999,Бухгалтер,місто Бурштин,"набережна Фахова, буд. 661 кв. 03, Городня, 07095",+380 69 495 02 53,oartymyshyn@example.org
Карпенко,Аркадій,Іванович,Ч,22.12.1977,Реабілітолог,село Барвінкове,"парк Трояндова, буд. 0, Куп'янськ, 19454",016 935 93 59,khrystenkosymon@example.net
Дацюк,Юстим,Анатолійович,Ч,15.04.1974,Промисловець,село Балта,"узвіз Вчительської, 2-й, буд. 5, Роздільна, 90542",+380 02 733-12-01,tsushkozakhar@example.com
Нестеренко,Анжела,Петрівна,Ж,15.11.2003,Кур'єр,хутір Устилуг,"проспект Новаторів, буд. 05 кв. 50, Стрий, 96526",+380 56 484 20 05,hpanchuk@example.com
Абрамчук,Едита,Анатоліївна,Ж,16.08.1960,Дантист,село Моршин,"провулок Лінійний, буд. 304, Оріхів, 04398",+380 15 915 94 41,tiahnybokliliia@example.com
Забарний,Костянтин,Анатолійович,Ч,24.05.1950,Штукатур,селище Васильків,"узвіз Фонтанська дорога, буд. 8 кв. 6, Одеса, 42654",+380 84 994-30-06,paliimykyta@example.com
Дергач,Альбіна,Миколаївна,Ж,07.05.1952,Бухгалтер,хутір Алупка,"узвіз Колонтаївська, буд. 65, Генічеськ, 21331",008 539 89 65,tetianavlasiuk@example.org
Гайденко,Мирон,Сергійович,Ч,28.06.1943,Петрограф,село Буча,"площа Аеродромний 2-й, буд. 7 кв. 766, Ржищів, 97561",+380 (05) 167-24-14,ovcharenkolukian@example.org
Іващенко,Галина,Павлівна,Ж,28.01.2004,Прокурор,селище Монастириська,"площа Івахненка Петра, буд. 07, Верхівцеве, 56589",+380 57 447-93-21,ebandera@example.org
Чумак,Лариса,Петрівна,Ж,01.01.1978,Мірошник,село Чигирин,"шосе Одеська, буд. 705, Ніжин, 58979",735 03 26,bandrusenko@example.net
Редько,Стефан,Михайлович,Ч,09.07.1969,Педагог,селище Самбір,"площа Південна дорога, буд. 838 кв. 45, Сімферополь, 09037",+380 (04) 547-75-58,khrystyna32@example.com
Чекалюк,Вікторія,Ігорівна,Ж,29.03.1952,Юрист,селище Радивилів,"шосе Свободи, буд. 3, Зоринськ, 61098",+380 (64) 801-01-23,cavramenko@example.org
Бебешко,Богуслав,Романович,Ч,20.04.1953,Паблік рилейшнз,село Дніпрорудне,"узвіз Куяльницький міст, буд. 372 кв. 793, Апостолове, 82902",068 680-27-81,chaikamariia@example.net
Франко,Богуслава,Тарасівна,Ж,27.06.1998,Парфюмер,місто Мелітополь,"проспект Дачний, буд. 665 кв. 17, Мукачево, 54225",015 393 17 95,okseniia72@example.net
Євдокименко,Левко,Іванович,Ч,23.08.1988,Науковець,селище Сколе,"провулок Дмитра Сигаревича, буд. 8, Лубни, 68957",+380 28 851-21-97,orudyk@example.com
Закусило,Спас,Сергійович,Ч,02.04.1974,Будник,село Чугуїв,"набережна Камишова, буд. 15 кв. 7, Шумськ, 64482",064 831 83 90,stepanhrechko@example.net
Скопенко,Пріска,Миколаївна,Ж,10.08.1999,Художник,село Куп'янськ,"парк Різовська, буд. 1 кв. 936, Сорокине, 68381",137-73-92,aholyk@example.org
Андріїшин,Одарка,Тарасівна,Ж,11.04.1947,Футболіст,хутір Апостолове,"сквер 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 274, Тлумач, 91963",088 48 33,irena93@example.org
Чміль,Яків,Богданович,Ч,10.08.1999,Реставратор,хутір Жовква,"сквер Амбулаторна, буд. 755 кв. 39, Хутір-Михайлівський, 06152",030 096 40 74,ihnatdakhno@example.net
Усик,Ілля,Михайлович,Ч,01.09.1974,Золотар,село Саки,"провулок Скляна, буд. 6 кв. 76, Городище, 69463",295 08 73,chaidai@example.net
Якименко,Людмила,Миколаївна,Ж,12.01.1938,Паблік рилейшнз,місто Тлумач,"шосе Дорбуду, буд. 386 кв. 421, Новоазовськ, 35507",+380 94 260-55-80,prymachenkooles@example.net
Дутка,Панас,Максимович,Ч,20.09.1964,Кінорежисер,хутір Ічня,"вулиця Маразліївська, буд. 1, Пустомити, 63269",792-24-59,daryna69@example.org
Карась,Костянтин,Валерійович,Ч,18.11.1969,Модельєр,село Луцьк,"парк Безіменний, буд. 04 кв. 8, Путивль, 13066",000 311-90-95,hhrechko@example.com
