Прізвище,Імя,По бат,Стать,Дата народження,Посада,Місто проживання,Адреса прож,Телефон,Email
Баштан,Климент,Віталійович,Ч,06.11.1978,Співак,хутір Малин,"набережна Театральний, буд. 186 кв. 40, Сокаль, 96053",056 366 32 09,tandriievych@example.com
Макаренко,Демид,Віталійович,Ч,26.01.1940,Фрілансер,село Тлумач,"проспект Матроський, буд. 231, Оріхів, 80719",+380 (75) 805-98-36,kivashchenko@example.org
Бабійчук,Володимир,Сергійович,Ч,18.02.1953,Фрілансер,хутір Миронівка,"сквер Костанді 2-й, буд. 6, Ясинувата, 87845",025-45-96,lukian41@example.org
Романець,Богдан,Леонідович,Ч,28.09.1991,Геолог,місто Ладижин,"проспект Волтона, буд. 48 кв. 84, Чуднів, 76181",470 18 14,valentynasvyrydenko@example.org
Тимченко,Григорій,Романович,Ч,06.03.1948,Ді-джей,хутір Березань,"площа Ганни Ахматової, буд. 7 кв. 64, Старобільськ, 68589",+380 36 319-09-58,liliia70@example.net
Забіла,Йосип,Петрович,Ч,13.08.2005,Клавішник,хутір Вишгород,"сквер Солонцюватий, буд. 22, Берестечко, 61269",297 21 93,viraiakymchuk@example.org
Литвин,Євген,Тарасович,Ч,01.01.1991,Художник,місто Чистякове,"парк Новосельского, буд. 4, Костопіль, 47590",569 15 73,salekseienko@example.com
Гриценко,Мілена,Леонідівна,Ж,27.09.2005,Художник,село Привілля,"парк Палубний, буд. 260, Ясинувата, 24464",+380 48 755 82 06,tymofiidanchenko@example.org
Устенко,Микита,Сергійович,Ч,21.06.1939,Локсмайстер,селище Валки,"площа Вузький, буд. 736 кв. 4, Вуглегірськ, 75109",+380 (04) 378-29-15,parmen69@example.com
Павлик,Богданна,Анатоліївна,Ж,26.02.1953,Фізик,селище Коломия,"набережна Ніли Крюкової, буд. 09 кв. 829, Ківерці, 49654",+380 40 383-92-58,hrechanyklarysa@example.com
Адамчук,Роксолана,Павлівна,Ж,26.10.1951,Художник,місто Кадіївка,"площа Вокзальний, буд. 6, Тлумач, 61549",092 373-18-90,atroshchenkoliza@example.org
Алексюк,Юстим,Віталійович,Ч,30.10.1962,Детектив,село Новогродівка,"парк Педагогічний, буд. 928 кв. 44, Кременець, 12859",048 529-11-04,pelekhstepan@example.com
Гоголь-Яновський,Арсен,Васильович,Ч,20.10.1954,Мистецтвознавець,село Слов'янськ,"вулиця Чернівецький, буд. 3, Борзна, 67571",973-92-98,lhaivoronskyi@example.com
Романенко,Леонід,Юрійович,Ч,27.02.1970,Випробувач,селище Ворожба,"вулиця Юрія Олеші, буд. 76, Попасна, 80943",049 314-82-31,vira23@example.org
Ільєнко,Ірена,Павлівна,Ж,04.09.1986,Композитор,місто Стрий,"парк Різдвяна, буд. 63 кв. 85, Бібрка, 91844",053 716-66-89,oles49@example.org
Журавель,Марта,Павлівна,Ж,14.03.1985,Стропальник,хутір Нове Давидково,"провулок Херсонський, буд. 30, Путивль, 38207",237-36-74,tkarmaliuk@example.org
Вахній,Олена,Сергіївна,Ж,08.12.1958,Геофізик,хутір Снігурівка,"узвіз Миколи Огренича, буд. 05 кв. 44, Славута, 53527",800-06-31,antonbaturynets@example.net
Бабариченко,Хома,Михайлович,Ч,01.04.1973,Петрограф,село Таврійськ,"набережна Кощового отамана, буд. 244, Кам'янка-Бузька, 24157",+380 (79) 038-41-84,panteleimon73@example.com
Артюшенко,Варвара,Анатоліївна,Ж,24.07.1957,Філолог,хутір Златопіль,"вулиця Кавунова, буд. 6 кв. 685, Тлумач, 84577",+380 (23) 104-13-71,frantssuprunenko@example.org
Василашко,Ігор,Віталійович,Ч,17.08.1990,Медик,село Перемишляни,"проспект Суднобудівний, буд. 6 кв. 16, Кам'янка-Дніпровська, 44452",+380 28 329-82-16,cdankiv@example.com
Бараник,Феофан,Петрович,Ч,03.03.1997,Конструктор,місто Корець,"узвіз Радісний, буд. 9 кв. 819, Старобільськ, 97008",+380 (31) 860-44-68,rubetshryhorii@example.org
Опанасенко,Артем,Михайлович,Ч,08.03.1964,Каскадер,місто Новий Калинів,"узвіз Бориса Нечерди, буд. 56, Макіївка, 04319",026 161-40-65,uzhuravel@example.net
Бевзенко,Ярина,Вікторівна,Ж,02.10.1952,Бібліограф,місто Рогатин,"провулок Басейний 4-й, буд. 642, Калинівка, 06998",001 704 51 89,babiukdaryna@example.org
Баклан,Адам,Степанович,Ч,23.12.1988,Кур'єр,селище Токмак,"провулок Львівська, буд. 4 кв. 192, Куп'янськ, 52831",+380 (86) 214-55-19,cherednykvitalii@example.com
Девдюк,Амалія,Тарасівна,Ж,15.11.1943,Паралегал,хутір Кагарлик,"набережна Металістів, буд. 6, Долинська, 68250",035 074-20-76,tesliafeofan@example.net
Тягнибок,Гордій,Вікторович,Ч,14.07.1968,Адвокат,місто Броди,"площа Восьмого березня, буд. 227, Верхньодніпровськ, 42014",+380 (47) 862-67-05,anton35@example.org
Тимчук,Соломія,Ігорівна,Ж,27.11.1954,Піаніст,село Ізмаїл,"проспект Степний 2-й, буд. 667 кв. 34, Нетішин, 28344",005 742-86-65,shovkopliasiaroslava@example.net
Романчук,Олесь,Андрійович,Ч,16.01.1939,Круп'є,місто Гайсин,"сквер Лузанівська, буд. 600, Рава-Руська, 51133",+380 78 424-89-10,piatachenkotaras@example.net
Базилевський,Богодар,Дмитрович,Ч,24.12.1985,Штукатур,хутір Монастирище,"набережна Михайла Божія, буд. 688, Тульчин, 97295",568-20-46,ovsiienkoklavdiia@example.org
Петрик,Тимофій,Іванович,Ч,05.01.1960,Літературознавець,селище Болград,"проспект Олександра Блока, буд. 9, Вишгород, 20861",098 051 03 57,sviatoslava82@example.com
Харченко,Святослава,Дмитрівна,Ж,02.08.1973,Правник,село Залізне,"проспект Садова 1-ша, буд. 88 кв. 77, Перевальськ, 15489",765-56-66,dziubademyd@example.com
Юхименко,Франц,Григорович,Ч,04.09.1995,Електромонтер,місто Сарни,"проспект Перлинна, буд. 3, Миргород, 42747",373-38-95,tymofiimatviienko@example.com
Єсипенко,Юхим,Григорович,Ч,30.10.1961,М'ясник,місто Яготин,"сквер Лиманчик 2-й Лінія 3-тя, буд. 8, Ужгород, 96538",+380 (02) 517-83-91,prokhirarkhypenko@example.org
Ісаєнко,Роксолана,Петрівна,Ж,03.07.2005,Прокурор,хутір Дубляни,"провулок Південна дорога, буд. 79 кв. 824, Тернівка, 87109",+380 (55) 103-92-55,abramchukveniiamyn@example.com
Михалюк,Ростислав,Максимович,Ч,12.10.1980,Живописець,селище Збараж,"сквер Лінійний, буд. 236 кв. 2, Кодима, 30269",976-58-93,avdieienkovolodymyr@example.com
Дараган,Прохір,Валерійович,Ч,24.05.1950,Парфюмер,місто Покровськ,"набережна Івана Луценка, буд. 5 кв. 842, Дергачі, 03094",806-53-90,odarkaorlyk@example.org
Бебешко,Олекса,Ігорович,Ч,19.10.1960,Юрист,місто Українськ,"узвіз Йозефа Прибіка, буд. 262 кв. 74, Білицьке, 82902",079 259-32-66,rnosenko@example.net
Харченко,Ольга,Андріївна,Ж,22.06.2005,Провізор,село Перевальськ,"набережна Гімназична, буд. 81, Подільськ, 90486",+380 24 357-20-48,iryna46@example.org
Цимбалюк,Ада,Анатоліївна,Ж,13.11.2007,Різноробочий,село Сіверськодонецьк,"узвіз Поперечний, буд. 7 кв. 00, Кремінна, 75766",+380 86 291-26-51,leopoldkovaliuk@example.org
Корпанюк,Богдан,Тарасович,Ч,03.05.1953,Детектив,хутір Семенівка,"площа Деревообробний 3-й, буд. 58 кв. 580, Щастя, 81526",+380 43 887-51-63,iarema86@example.com
Левченко,Азар,Дмитрович,Ч,04.03.2004,Будник,село Дунаївці,"узвіз Проектна 2-га, буд. 713, Вижниця, 27603",+380 53 460 99 96,avrelii42@example.org
Власенко,Лесь,Валерійович,Ч,25.07.2003,Складальник,село Теребовля,"набережна Гоголя, буд. 8, Берестечко, 43532",032 859 28 09,nivanychuk@example.org
Шиян,Роксолана,Тарасівна,Ж,15.01.1968,Підприємець,хутір Берислав,"парк Старицького, буд. 46 кв. 8, Люботин, 41241",+380 26 248-73-29,irenazakharchenko@example.org
Безбородько,Леонтій,Сергійович,Ч,20.08.1994,Ветеринар,хутір Нововолинськ,"набережна Демократична, буд. 9 кв. 73, Рубіжне, 98698",+380 33 138-91-22,irynashynkarenko@example.net
Андріїшин,Кирило,Іванович,Ч,02.02.1944,Кур'єр,село Городок,"шосе Петра Лещенка, буд. 523 кв. 349, Кремінна, 34444",+380 44 220-55-13,omelian40@example.org
Юрчук,Борис,Ярославович,Ч,26.02.1964,Юрист,місто Берестин,"провулок Бориса Кифоренка, буд. 322, Стрий, 34401",+380 13 047-45-45,romanchukoryna@example.com
Швачка,Галина,Юріївна,Ж,05.02.1994,Перекладач,селище Сніжне,"шосе Монастирський, буд. 47 кв. 293, Благовіщенське, 33439",+380 16 688 53 73,iakymchukalbert@example.org
Баштан,Мілена,Ігорівна,Ж,30.06.1940,Математик,село Устилуг,"сквер Берегова, буд. 988, Біла Церква, 78613",+380 (73) 648-96-75,havryshkevychmilena@example.net
Рубан,Володимира,Валеріївна,Ж,07.03.1960,Патологоанатом,місто Вижниця,"сквер Карпенка-Карого, буд. 2 кв. 2, Перевальськ, 52991",+380 12 628-64-64,matviienkosolomiia@example.org
Вакарчук,Вʼячеслав,Миколайович,Ч,15.04.2008,Палеонтолог,місто Баштанка,"шосе Літакова, буд. 05, Городня, 33173",024 233-16-26,iukhymenkovolodymyr@example.org
Джус,Іван,Валерійович,Ч,16.11.1975,Вчитель,хутір Чоп,"площа Чигиринська, буд. 76, Дніпро, 92281",103 11 98,hryhoriihuk@example.org
Власенко,Петро,Ярославович,Ч,13.06.2003,Кушнір,селище Карлівка,"вулиця Мельницька, буд. 4 кв. 75, Городище, 01199",+380 14 342 88 22,dmakarenko@example.net
Перепелиця,Аліна,Миколаївна,Ж,17.01.1949,Підприємець,хутір Новий Розділ,"вулиця Амбулаторна, буд. 8 кв. 741, Тлумач, 23252",074 844-93-30,xverkhovynets@example.org
Бабиченко,Захар,Андрійович,Ч,13.11.1948,Електротехнік,село Іллінці,"узвіз Людмили Гінзбург, буд. 871 кв. 332, Оріхів, 81528",992-95-71,adamsheremeta@example.net
Шухевич,Юстина,Дмитрівна,Ж,09.04.1984,Футболіст,місто Сколе,"парк Восьмого березня, буд. 07 кв. 31, Рудки, 25959",051-30-03,amaliiakalchenko@example.com
Слюсар,Ярослава,Володимирівна,Ж,02.06.1966,Клоун,місто Новий Розділ,"узвіз Ждахи, буд. 3 кв. 20, Ромни, 26793",+380 30 347-10-29,serhiishcherban@example.org
Чуйко,Лукʼян,Павлович,Ч,13.04.1954,Актор,селище Борислав,"сквер Локомотивний 2-й, буд. 6, Іршава, 06667",+380 95 552 73 29,amaliia60@example.org
Дерегус,Демид,Павлович,Ч,25.07.1983,Доцент,хутір Волочиськ,"площа Костанді 2-й, буд. 8, Тульчин, 19164",053 176-72-26,fartushniakiakiv@example.net
Колесниченко,Остап,Романович,Ч,14.04.1941,Випробувач,селище Покровськ,"проспект Штурвальна, буд. 10, Володимир-Волинський, 18005",+380 (54) 142-91-28,piurchyshyn@example.net
Бевз,Володимир,Ярославович,Ч,06.01.1977,Няня,селище Докучаєвськ,"шосе Кутова, буд. 146 кв. 8, Підгайці, 07078",+380 95 421 71 65,wsatsiuk@example.com
Даниленко,Христина,Степанівна,Ж,07.07.1962,Електрик,село Зимогір'я,"площа Проектований 4-й, буд. 6, Хотин, 91064",020 262-39-90,bazylevskyivalentyna@example.com
Швачко,Аліна,Тарасівна,Ж,21.08.1951,Археолог,хутір Винники,"набережна Планетна, буд. 4, Українськ, 45577",733-91-13,wfesenko@example.com
Єрьоменко,Соломон,Ігорович,Ч,19.03.1955,Паблік рилейшнз,селище Ровеньки,"узвіз Лінія 31-ша, буд. 62, Копичинці, 56766",+380 71 721-93-53,kozakartem@example.org
Чуйко,Максим,Анатолійович,Ч,03.11.1971,Водій,селище Корець,"площа Сухолиманна, буд. 16, Українка, 47359",083 303 52 53,jzarudna@example.org
Вахній,Леон,Романович,Ч,04.01.2003,Підприємець,село Путивль,"проспект Шухевича Романа, буд. 5 кв. 932, Вараш, 13600",318-95-19,fumanets@example.net
Міщенко,Розалія,Григорівна,Ж,23.11.1968,Доцент,хутір Хотин,"провулок Новощіпний ряд, буд. 96 кв. 55, Березань, 49122",+380 60 064-47-80,tymchenkoliudmyla@example.org
Щербань,Гаврило,Сергійович,Ч,30.09.1976,Адвокат,село Верхньодніпровськ,"площа Стражеска Миколи, буд. 60, Перечин, 90269",693-98-76,khomenkostepan@example.net
Дубенко,Георгій,Васильович,Ч,22.07.1957,Програміст,селище Марганець,"парк Героїв УПА, буд. 362 кв. 42, Бар, 87749",044 718-01-20,edeineko@example.net
Хорішко,Ярина,Павлівна,Ж,13.09.1958,Пекар,село Очаків,"провулок Молокова, буд. 163, Ковель, 21257",704-07-09,fzubko@example.com
Макогон,Георгій,Павлович,Ч,20.06.1989,Водій,місто Угнів,"узвіз Ключовий 1-й, буд. 844, Василівка, 08344",464-40-30,hryhorii40@example.org
Андрієнко,Зиновій,Романович,Ч,14.06.1979,Літературознавець,селище Вилкове,"вулиця Китобійний 2-й, буд. 801, Снігурівка, 58782",+380 (29) 613-22-27,teodor41@example.com
Юрчишин,Костянтин,Васильович,Ч,12.01.1966,Промисловець,село Ірміно,"набережна Бузковий 2-й, буд. 56 кв. 6, Алчевськ, 10896",+380 95 474-08-41,iefymenkoviktoriia@example.org
Асаула,Вʼячеслав,Вікторович,Ч,07.06.1940,Бібліотекар,хутір Бібрка,"проспект Пересипський узвіз, буд. 3, Бурштин, 79404",041 702-10-08,shyloopanas@example.net
Христич,Яків,Вікторович,Ч,17.07.1978,Геолог,село Радехів,"провулок Тополиний, буд. 8 кв. 049, Нова Каховка, 11116",+380 60 067-51-36,mariiaieromenko@example.net
Носаченко,Надія,Ігорівна,Ж,12.03.2004,Гицель,село Богодухів,"узвіз Деревообробний 2-й, буд. 3 кв. 6, Заставна, 36575",+380 83 079 59 38,mariiavertyporokh@example.org
Оберемко,Орина,Валеріївна,Ж,13.04.1955,Фармацевт,селище Радехів,"узвіз Рибальська, буд. 6, Гірське, 97099",854 22 07,mbezditko@example.org
Кабаненко,Антон,Іванович,Ч,18.07.1951,Кур'єр,місто Вовчанськ,"сквер Ракетна, буд. 275, Берислав, 73686",026 268-42-23,vladyslav12@example.org
Черненко,Орися,Дмитрівна,Ж,14.04.1938,Акушер,хутір Отаманівка,"шосе Карпенка-Карого, буд. 383 кв. 669, Пустомити, 84349",+380 27 562-83-55,sliusarrostyslav@example.com
Вергун,Павло,Васильович,Ч,30.08.1968,Модельєр,хутір Очаків,"парк Строганов міст, буд. 7, Хоростків, 30768",+380 02 395 54 06,aviter@example.org
Гриценко,Пилип,Петрович,Ч,23.11.1941,Реабілітолог,місто Рубіжне,"набережна Топольського, буд. 686, Березне, 31816",664 65 23,ntaran@example.com
Ярема,Ігнат,Анатолійович,Ч,20.07.1964,Історик,місто Любомль,"сквер Марка Твена, буд. 6, Путивль, 71872",+380 47 562 16 26,lukianhuzii@example.org
Давимука,Григорій,Тарасович,Ч,07.04.2000,Льотчик,хутір Володимир-Волинський,"сквер Деревообробний 5-й, буд. 9 кв. 28, Решетилівка, 67421",+380 56 933-91-89,roksolanaokhrymovych@example.net
Вітрук,Пантелеймон,Петрович,Ч,01.12.2007,Астроном,хутір Голубівка,"провулок Чорноморський 6-й, буд. 12 кв. 688, Боярка, 10244",004 150-47-79,ruslanmazur@example.com
Скиба,Амалія,Максимівна,Ж,02.04.1958,Кінолог,хутір Федорівка,"проспект М’ясоєдовська, буд. 32, Рожище, 43169",022 858-43-07,visaievych@example.net
Верхола,Борис,Олександрович,Ч,18.01.1946,Модельєр,місто Новий Розділ,"проспект Вертелецького, буд. 6 кв. 0, Новодністровськ, 19741",016 117-89-36,makar44@example.com
Тимченко,Давид,Богданович,Ч,25.12.1938,Вчитель,село Мукачево,"сквер Олексія Косяченко, буд. 478 кв. 0, Харків, 35777",030 787 25 36,iaryna17@example.org
Полтавець,Володимир,Михайлович,Ч,19.10.1991,Мовознавець,хутір Балта,"площа Рельєфна, буд. 172 кв. 318, Теплодар, 59982",+380 22 593 52 73,mhaida@example.org
Фартушняк,Іван,Андрійович,Ч,28.01.1989,Перекладач,селище Батурин,"вулиця 8-ма Лінія Дачі Ковалевського, буд. 391, Білгород-Дністровський, 96477",828 97 38,zbabarychenko@example.org
Теличенко,Златослава,Віталіївна,Ж,27.09.1978,Стоматолог,селище Златопіль,"набережна Українська, буд. 2 кв. 1, Південне, 13192",862 97 25,jfesenko@example.org
Єфименко,Оксана,Максимівна,Ж,14.08.2003,Письменник,хутір Снятин,"проспект Березова, буд. 989, Українськ, 98782",+380 96 134 27 15,lshablii@example.com
Яковенко,Панас,Ігорович,Ч,31.05.1967,Випробувач,місто Кипуче,"провулок Жевахова, буд. 051 кв. 75, Камінь-Каширський, 51394",+380 63 153-97-09,gvelychko@example.net
Примаченко,Лесь,Максимович,Ч,23.11.1977,Археолог,село Білопілля,"площа Гена Іоганна, буд. 4, Буринь, 90988",+380 24 212-65-70,volodymyra50@example.com
Рубець,Еріка,Михайлівна,Ж,12.09.1980,Реабілітолог,селище Батурин,"сквер Лінія 31-ша, буд. 820 кв. 89, Бунге, 73803",+380 92 849-41-91,iaroslavavakulenko@example.org
Вишиваний,Зорян,Володимирович,Ч,20.01.1994,Піаніст,хутір Покровськ,"сквер Заньковецької, буд. 08, Сарни, 45577",022 732 74 60,tetianatychyna@example.net
Вдовиченко,Анжела,Миколаївна,Ж,18.12.1995,Шериф,хутір Черкаси,"шосе Родоканакі, буд. 94 кв. 4, Ананьїв, 35558",084 466 26 44,malyshkooleh@example.net
Ільченко,Мирослав,Олександрович,Ч,17.02.1991,Редактор,хутір Бібрка,"провулок Чайкова, буд. 027, Ужгород, 28638",092 296 22 66,vadym81@example.com
Шутько,Аркадій,Ігорович,Ч,12.12.2000,Правник,село Судак,"парк Василя Симоненка, буд. 38, Берестечко, 56399",+380 08 789-92-85,omelianpalii@example.org
Фастенко,Валерій,Валерійович,Ч,25.04.1960,Перекладач,місто Чигирин,"парк Кипарисний 3-й, буд. 6 кв. 28, Христинівка, 59245",186-61-89,fedir05@example.com
Хомик,Станіслав,Тарасович,Ч,22.08.1978,Математик,селище Галич,"площа Дігтярна, буд. 318, Хрестівка, 44590",020 026-10-95,andriichukolena@example.com
Батюк,Гаврило,Леонідович,Ч,27.11.1985,Фізик,село Тернівка,"сквер Чубаївський, буд. 5, Олевськ, 77861",+380 04 277-94-01,teslialeonid@example.com
Чайка,Хома,Анатолійович,Ч,21.06.1993,Кінолог,місто Горлівка,"проспект Травневий, буд. 6, Винники, 18260",+380 25 694 66 69,viktoriiadashenko@example.net
Павличенко,Оксана,Володимирівна,Ж,24.08.1960,Графік,село Ананьїв,"парк Олександра Кутузакія, буд. 4, Лутугине, 32330",820-12-98,ustymisaievych@example.org
Андрощук,Богданна,Степанівна,Ж,08.07.2005,Ветеринар,село Саки,"проспект Корнюшина, буд. 7 кв. 03, Красноперекопськ, 78694",+380 13 347-38-05,fzaruba@example.org
Влох,Арсен,Олександрович,Ч,17.03.2008,Співак,село Шумськ,"площа Восьмого березня 6-й, буд. 47 кв. 0, Родинське, 31942",563 43 86,miroshnychenkonestor@example.com
Іщенко,Андрій,Юрійович,Ч,14.01.1963,Економіст,місто Рівне,"набережна Заводська 4-та, буд. 53 кв. 7, Ясинувата, 49275",027 299-30-53,oles21@example.com
Батіг,Еріка,Михайлівна,Ж,03.12.1944,Ріелтор,селище Старий Самбір,"шосе Компасний, буд. 224, Авдіївка, 03687",842-85-97,qkonoplia@example.com
Цимбалюк,Євген,Валерійович,Ч,28.03.1993,Слідчий,селище Березівка,"площа Лиманчик 2-й Лінія 8-ма, буд. 07, Арциз, 49523",+380 96 584-60-75,mykhailynaivanchenko@example.org
Юхименко,Юстина,Іванівна,Ж,02.12.1996,Петрограф,місто Валки,"шосе Гаванна, буд. 4 кв. 664, Нова Одеса, 39342",776 65 71,oksanapavlenko@example.com
Забіла,Сергій,Васильович,Ч,01.02.1971,Електромонтажник,село Бердичів,"парк Літній, буд. 246, Галич, 71613",+380 66 929-17-44,davydmakohon@example.net
Вергун,Вадим,Юрійович,Ч,16.09.1951,Перекладач,місто Теплодар,"шосе Городня, буд. 048, Генічеськ, 15915",+380 (82) 076-95-56,liudmylaromanenko@example.net
Хмара,Венедикт,Ігорович,Ч,29.07.1966,Петрограф,місто Заставна,"провулок Гонтаренко, буд. 50 кв. 2, Гуляйполе, 83873",424-60-14,konopliaustym@example.net
Худобʼяк,Амалія,Сергіївна,Ж,25.01.1992,Флорист,місто Перемишляни,"набережна Олександра Білостінного, буд. 080, Перемишляни, 88100",027 113 65 68,hresoleh@example.org
Сомко,Христина,Сергіївна,Ж,04.06.1971,Літературознавець,селище Лебедин,"вулиця Басейний 6-й, буд. 4 кв. 0, Липовець, 68437",+380 97 050 79 29,veniiamynvlasiuk@example.com
Ляшко,Юстина,Анатоліївна,Ж,11.02.2005,Соціолог,село Вільнянськ,"сквер Штурвальна, буд. 8, Житомир, 60733",+380 21 791 90 59,dupliifrants@example.com
Ільєнко,Климент,Максимович,Ч,16.05.1990,Електротехнік,хутір Дніпро,"вулиця Чорноморський 1-й, буд. 4, Обухів, 62814",087 935-89-74,hzakharchenko@example.com
Ємець,Єфрем,Володимирович,Ч,13.08.2003,Біолог,хутір Лисичанськ,"проспект Мечникова, буд. 8, Інкерман, 91907",+380 46 674 14 77,borysperebyinis@example.net
Фастенко,Софія,Петрівна,Ж,24.10.2003,Ріелтор,хутір Кремінна,"парк Морський 2-й, буд. 513, Вільнянськ, 98335",157-78-01,hvysochan@example.net
Верес,Аарон,Ярославович,Ч,05.10.1978,Петрограф,село Бучач,"проспект Ярморочна площа, буд. 1 кв. 97, Охтирка, 77973",559-31-95,ielysaveta33@example.org
Дробаха,Опанас,Леонідович,Ч,25.03.1980,Електрослюсар,хутір Торецьк,"провулок Донорська, буд. 19 кв. 27, Світлодарськ, 75488",082 599 91 32,zlatoslavasuprunenko@example.com
Орлик,Лариса,Сергіївна,Ж,09.07.1986,Фермер,місто Золочів,"парк Водний, буд. 9 кв. 676, Ромни, 03670",+380 50 540 86 42,marianaiemelianenko@example.org
Овчаренко,Ілля,Валерійович,Ч,27.06.1963,Науковець,хутір Галич,"набережна Савранська, буд. 2, Кривий Ріг, 97322",+380 (87) 376-62-77,mdankiv@example.org
Забарний,Вʼячеслав,Олександрович,Ч,14.01.1950,Правник,місто Бахчисарай,"сквер Крушельницької, буд. 5, Монастирище, 36592",036 230 99 75,iaryna48@example.org
Андрієнко,Олена,Валеріївна,Ж,16.03.1952,Кінокритик,хутір Новоград-Волинський,"набережна Джевецького, буд. 4 кв. 66, Старобільськ, 53912",037 062-53-00,ivashchenkoomelian@example.org
Доценко,Олекса,Андрійович,Ч,02.06.1970,Композитор,село Чистякове,"провулок Паркова, буд. 47, Гайсин, 01909",089 174-45-07,chumakhavrylo@example.com
Стець,Єлисавета,Степанівна,Ж,01.12.1984,Візажист,селище Моспине,"вулиця Мукачівський, буд. 50, Шахтарськ, 96618",+380 76 011-50-73,shylopylyp@example.com
Єфименко,Гліб,Тарасович,Ч,26.12.1960,Маркетолог,місто Покровськ,"провулок Географічний, буд. 9, Ізмаїл, 33206",790 20 62,charnyshodarka@example.com
Бабак,Оксенія,Василівна,Ж,03.04.1990,Футболіст,хутір Кам'янка (Черкаська область),"шосе Деревообробний 3-й, буд. 681, Мар'їнка, 13048",058 04 12,lveres@example.net
Гузенко,Адам,Анатолійович,Ч,18.07.1957,Ювелір,село Броди,"проспект Гвоздична, буд. 417 кв. 921, Славута, 50566",015 265-87-03,charnyshanton@example.org
Онуфрієнко,Стефан,Віталійович,Ч,01.08.1974,Художник,хутір Глобине,"набережна Селищна, буд. 24, Кам'янка-Бузька, 01031",090 581-95-52,veresvalerii@example.com
Лаба,Віра,Григорівна,Ж,19.04.1968,Науковець,місто Іллінці,"проспект Лузанівський 2-й, буд. 8, Виноградів, 61452",517 19 12,ztsisyk@example.net
Франчук,Спас,Романович,Ч,14.05.1986,Програміст,місто Золотоноша,"парк Ф. Пішеніна, буд. 4 кв. 272, Тульчин, 52686",009 105 63 20,zhaivoronoleksa@example.com
Царенко,Розалія,Василівна,Ж,10.02.1986,Фермер,селище Лебедин,"вулиця Нерубайська, буд. 0 кв. 51, Ясинувата, 06439",+380 (74) 765-99-28,anzhela85@example.com
Зубко,Опанас,Андрійович,Ч,21.05.1967,Стоматолог,хутір Покров,"сквер Привокзальний, буд. 5 кв. 232, Ржищів, 51237",183-61-47,ievhen48@example.com
Нестайко,Омелян,Юрійович,Ч,22.07.1940,Адвокат,селище Ірміно,"проспект Лузанівський 1-й, буд. 8, Біла Церква, 54134",+380 (22) 037-25-78,orobetsvalentyna@example.net
Забара,Василина,Богданівна,Ж,02.10.1986,Електромонтер,місто Верхньодніпровськ,"проспект Рульовий, буд. 31, Судова Вишня, 93004",033 410 26 76,vasyl21@example.org
Бандера,Федір,Іванович,Ч,27.06.1984,Євнух,село Долинська,"площа Миколи Троїцького, буд. 9, Тальне, 77882",035 131 81 36,arkadii88@example.com
Чалий,Валерій,Романович,Ч,31.03.1973,Реабілітолог,село Шостка,"площа Весела, буд. 132, Старий Самбір, 25955",615 50 13,mariia76@example.org
Євтушенко,Галина,Дмитрівна,Ж,03.10.1974,Антрополог,село Дніпро,"вулиця Дача Ковалевського, буд. 404, Рудки, 42471",119 87 69,mykhailynazatovkaniuk@example.net
Бабʼюк,Сніжана,Юріївна,Ж,29.12.1965,Журналіст,селище Погребище,"набережна Донорська, буд. 3 кв. 798, Здолбунів, 04654",+380 30 903-60-96,mykytiukiaroslav@example.com
Рябець,Артем,Павлович,Ч,22.08.1978,Кінорежисер,місто Березне,"сквер Льва Симиренка, буд. 79 кв. 57, Тернівка, 13526",978 89 05,qoliinyk@example.com
Штепа,Ярина,Ігорівна,Ж,19.02.1963,Співак,місто Шпола,"набережна Проектований 4-й, буд. 580 кв. 9, Шостка, 89365",099 138 44 82,andriiieroshenko@example.org
Єфименко,Леон,Ігорович,Ч,08.09.1979,Візажист,селище Нова Каховка,"узвіз Сабанський, буд. 3 кв. 350, Новий Буг, 06036",+380 (75) 392-21-83,thavrysh@example.net
Швачко,Прохір,Богданович,Ч,22.08.1960,Журналіст,селище Корець,"сквер Путьова, буд. 71 кв. 7, Кролевець, 22946",+380 94 667-90-24,tymofiikadeniuk@example.com
Вернигора,Теодор,Ігорович,Ч,26.04.1974,Музикознавець,село Чортків,"проспект Привозна, буд. 49 кв. 09, Ялта, 04370",+380 49 338-47-02,sheremetnazar@example.net
Масляк,Сніжана,Романівна,Ж,02.07.1974,Композитор,село Зборів,"набережна Майстерний, буд. 9, Ізюм, 28902",086 547-73-50,spasbabiuk@example.net
Гуцуляк,Пилип,Олександрович,Ч,13.04.1946,Круп'є,село Білицьке,"набережна Штабний, буд. 2, Белз, 11525",019 313-08-57,bohodar78@example.com
Гречко,Олесь,Валерійович,Ч,09.07.1998,Електрик,селище Турка,"сквер Квіткова, буд. 24 кв. 696, Ананьїв, 80377",586-78-04,vatamaniukvladyslav@example.org
Фесенко,Святослава,Богданівна,Ж,08.12.1993,Державний службовець,селище Покровськ,"шосе Лодочний, буд. 956, Белз, 14317",081 202 28 48,korolenkoborys@example.org
Затула,Франц,Михайлович,Ч,08.06.1968,Парфюмер,місто Путивль,"провулок Артилерійська, буд. 08 кв. 7, Радомишль, 96034",+380 79 858-79-94,ftsybulenko@example.com
